paper_id,source_record_id,library,expected_record,current_filename,current_relpath,file_exists,file_size_bytes,page_count,pdf_readable,pdf_status,pdf_match_status,identity_basis,verification_flags,notes
A027,A-R-01,A,yes,A-R-01_2020_Li_Review_HPDI_NaturalGas_CombustionEmissionsPerformance.pdf,02_PDF_Raw/A/A-R-01_2020_Li_Review_HPDI_NaturalGas_CombustionEmissionsPerformance.pdf,yes,2235782,17,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A028,A-R-02,A,yes,A-R-02_2021_Li_NumericalReview_HPDI_NaturalGas_Engines.pdf,02_PDF_Raw/A/A-R-02_2021_Li_NumericalReview_HPDI_NaturalGas_Engines.pdf,yes,6515022,19,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A029,A-R-03,A,yes,A-R-03_2025_Li_DualFuel_DualDirectInjection_Review.pdf,02_PDF_Raw/A/A-R-03_2025_Li_DualFuel_DualDirectInjection_Review.pdf,yes,37905929,29,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A030,A-R-04,A,yes,A-R-04_2025_Rorimpandey_HydrogenDiesel_DI_Combustion_Review.pdf,02_PDF_Raw/A/A-R-04_2025_Rorimpandey_HydrogenDiesel_DI_Combustion_Review.pdf,yes,8567854,23,yes,downloaded,matched,source_record_id_filename;embedded_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf,,
B001,B-T-01,B,yes,B-T-01_2012_Velikorodny_NearField_HighlyUnderexpanded_TurbulentGasJets.pdf,02_PDF_Raw/B/B-T-01_2012_Velikorodny_NearField_HighlyUnderexpanded_TurbulentGasJets.pdf,yes,805962,10,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B002,B-T-02,B,yes,B-T-02_2012_Papanikolaou_NotionalNozzle_Underexpanded_HydrogenJets.pdf,02_PDF_Raw/B/B-T-02_2012_Papanikolaou_NotionalNozzle_Underexpanded_HydrogenJets.pdf,yes,1284752,12,yes,downloaded,matched,source_record_id_filename;front_matter_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B003,B-T-03,B,yes,B-T-03_2013_Vuorinen_LES_HighlyUnderexpanded_TransientGasJets.pdf,02_PDF_Raw/B/B-T-03_2013_Vuorinen_LES_HighlyUnderexpanded_TransientGasJets.pdf,yes,4419367,23,yes,downloaded,matched,source_record_id_filename;front_matter_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B004,B-T-04,B,yes,B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,02_PDF_Raw/B/B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,yes,2526887,29,yes,downloaded,matched,source_record_id_filename;front_matter_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B005,B-T-05,B,yes,B-T-05_2023_Duronio_UnderexpandedJets_AdvancedPropulsion_Review.pdf,02_PDF_Raw/B/B-T-05_2023_Duronio_UnderexpandedJets_AdvancedPropulsion_Review.pdf,yes,5008745,21,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
B006,B-H2-01,B,yes,B-H2-01_2006_Petersen_Transient_HighPressure_HydrogenJet.pdf,02_PDF_Raw/B/B-H2-01_2006_Petersen_Transient_HighPressure_HydrogenJet.pdf,yes,1208468,13,yes,downloaded,matched,source_record_id_filename;front_matter_title;front_matter_authors;first_author_front_matter;year_front_matter;title_descriptor_consistent,,
